Borough,1,SE1 1JX,51.501049,-0.094197,532379,179734,11776.81,11999.84
Boston Manor,4,TW8 9LQ,51.495766,-0.324747,516391,178755,-4211.19,12978.84
Bounds Green,"3,4",N11 2EU,51.607032,-0.124177,529996,191466,9393.81,267.84
Bow Church,2,E3 3AA,51.527615,-0.0205,537414,182824,16811.81,8909.84
Bow Road,2,E3 4DH,51.527042,-0.02436,537148,182753,16545.81,8980.84
Bowes Park,"3,4",N22 8NL,51.60725,-0.119792,530299,191498,9696.81,235.84
Brent Cross,3,NW11 9UA,51.576599,-0.213336,523905,187927,3302.81,3806.84
Brentford,4,TW8 9LF,51.487536,-0.309623,517462,177864,-3140.19,13869.84
Brentwood,7,CM14 4EW,51.61361,0.299673,559321,193036,38718.81,-1302.16
Brimsdown,5,EN3 7NA,51.655245,-0.031092,536297,196997,15694.81,-5263.16
Brixton,2,SW9 8HE,51.462737,-0.114552,531076,175437,10473.81,16296.84
Brockley,2,SE4 2RW,51.46475,-0.037748,536405,175801,15802.81,15932.84
Bromley North,4,BR1 3NN,51.408942,0.017235,540395,169699,19792.81,22034.84
Bromley South,5,BR1 1LX,51.400001,0.01736,540431,168705,19828.81,23028.84
Bromley-by-Bow,"2,3",E3 3BT,51.52484,-0.011682,538034,182532,17431.81,9201.84
Brondesbury,2,NW6 7QL,51.545262,-0.202838,524718,184460,4115.81,7273.84
Brondesbury Park,2,NW6 6RP,51.540325,-0.210474,524202,183898,3599.81,7835.84
Broxbourne,9,EN10 7AW,51.747016,-0.011024,537407,207240,16804.81,-15506.16
Bruce Grove,3,N17 8AD,51.594011,-0.070399,533758,190115,13155.81,1618.84
Buckhurst Hill,5,IG9 5ET,51.626577,0.046713,541768,193957,21165.81,-2223.16
Burnham,,SL1 6JT,51.523505,-0.646388,494007,181378,-26595.19,10355.84
Burnt Oak,4,HA8 0LA,51.602552,-0.264331,520303,190728,-299.19,1005.84
Bush Hill Park,5,EN1 1BA,51.641482,-0.06928,533696,195396,13093.81,-3662.16
Bushey,8,WD19 4ST,51.645544,-0.384722,511860,195318,-8742.19,-3584.16
Caledonian Road,2,N7 9BA,51.547885,-0.118361,530568,184899,9965.81,6834.84
Caledonian Road and Barnsbury,2,N1 0SL,51.543285,-0.115205,530800,184393,10197.81,7340.84
Cambridge Heath,2,E2 7NA,51.53206,-0.057203,534855,183250,14252.81,8483.84
Camden Road,2,NW1 9LQ,51.541851,-0.139203,529140,184191,8537.81,7542.84
Camden Town,2,NW1 8NH,51.539969,-0.142452,528920,183976,8317.81,7757.84
Canada Water,2,SE16 7BB,51.498168,-0.050807,535399,179493,14796.81,12240.84
Canary Wharf,2,E14 4QS,51.503578,-0.019467,537558,180153,16955.81,11580.84
Canning Town,3,E16 1DQ,51.51387,0.008306,539454,181350,18851.81,10383.84
Cannon Street,1,EC4N 6AP,51.511362,-0.090251,532623,180888,12020.81,10845.84
Canonbury,2,N1 2PG,51.548188,-0.092574,532355,184979,11752.81,6754.84
Canons Park,5,HA8 6RN,51.607651,-0.294392,518208,191246,-2394.19,487.84
Carpenders Park,7,WD19 7DT,51.628187,-0.385829,511826,193386,-8776.19,-1652.16
Carshalton,5,SM5 2HT,51.368426,-0.166398,527737,164858,7134.81,26875.84
Carshalton Beeches,5,SM5 3LG,51.357387,-0.169496,527552,163625,6949.81,28108.84
Castle Bar Park,4,W7 1AY,51.522974,-0.331504,515853,181770,-4749.19,9963.84
Caterham,6,CR3 6LB,51.282163,-0.078607,534099,155422,13496.81,36311.84
Catford,3,SE6 4XT,51.444265,-0.026538,537245,173544,16642.81,18189.84
Catford Bridge,3,SE6 4RE,51.444695,-0.024822,537363,173595,16760.81,18138.84
Centrale,"3,4,5,6",CR0 1XT,51.375767,-0.103888,532067,165785,11464.81,25948.84
Chadwell Heath,5,RM6 4BE,51.568047,0.128901,547646,187611,27043.81,4122.84
Chafford Hundred,7,RM16 6QQ,51.485554,0.287476,558922,178770,38319.81,12963.84
Chalfont and Latimer,8,HP7 9PR,51.667907,-0.561068,499610,197550,-20992.19,-5816.16
Chalk Farm,2,NW3 2BP,51.544149,-0.153733,528126,184421,7523.81,7312.84
Chancery Lane,1,WC1V 6DR,51.518494,-0.111962,531096,181642,10493.81,10091.84
Charing Cross,1,WC2N 5HS,51.508359,-0.124803,530234,180492,9631.81,11241.84
Charlton,3,SE7 7AB,51.486835,0.030942,541108,178387,20505.81,13346.84
Cheam,5,SM3 8RZ,51.35546,-0.214211,524444,163334,3841.81,28399.84
Chelsfield,6,BR6 6EU,51.356265,0.108984,546944,164021,26341.81,27712.84
Chesham,9,HP5 1DH,51.70538,-0.61143,496048,201650,-24554.19,-9916.16
Cheshunt,8,EN8 9AQ,51.702873,-0.023887,536652,202307,16049.81,-10573.16
Chessington North,6,KT9 2RT,51.364243,-0.300476,518415,164168,-2187.19,27565.84
Chessington South,6,KT9 2DD,51.356705,-0.307089,517974,163319,-2628.19,28414.84
Chigwell,4,IG7 6NT,51.617858,0.076179,543835,193045,23232.81,-1311.16
Chingford,5,E4 6AL,51.633253,0.009514,539173,194628,18570.81,-2894.16
Chipstead,6,CR5 3TD,51.309275,-0.169446,527689,158275,7086.81,33458.84
Chislehurst,5,BR7 5NN,51.405598,0.057492,543205,169405,22602.81,22328.84
Chiswick,3,W4 2QE,51.480781,-0.267013,520438,177182,-164.19,14551.84
